iter	Logloss
0	0.6663184165
1	0.6338592643
2	0.6104066932
3	0.5892559614
4	0.5735953266
5	0.5546301005
6	0.5432416571
7	0.531790741
8	0.5213333864
9	0.5089540859
10	0.5000767348
11	0.4926861272
12	0.4835413119
13	0.4767329351
14	0.4706103723
15	0.4650501784
16	0.4597687887
17	0.4549357212
18	0.4505351797
19	0.4452288751
20	0.440965745
21	0.4375176694
22	0.4331625807
23	0.428686152
24	0.4261721578
25	0.4236638451
26	0.4211310234
27	0.4181174536
28	0.4156952754
29	0.4134585419
30	0.4109417749
31	0.4093883365
32	0.4072741389
33	0.4053915492
34	0.4030108188
35	0.401121597
36	0.3989418765
37	0.3973176292
38	0.396092603
39	0.3944738726
40	0.3917254848
41	0.3905672683
42	0.3886666668
43	0.3871228317
44	0.3857004427
45	0.3845976589
46	0.3830272096
47	0.3818586536
48	0.3806716193
49	0.3786991232
50	0.3775124559
51	0.3762908076
52	0.3749184522
53	0.3734204457
54	0.3723628791
55	0.3714185636
56	0.3702852408
57	0.3694723242
58	0.3685917457
59	0.3673382916
60	0.3657284914
61	0.3646112215
62	0.3636643823
63	0.3622540505
64	0.3616047481
65	0.3608996139
66	0.359347711
67	0.3586713345
68	0.3573538388
69	0.3565575288
70	0.3554669385
71	0.3541932574
72	0.3529873785
73	0.3524146733
74	0.3515218603
75	0.3509478349
76	0.3501508209
77	0.3492609767
78	0.3483958524
79	0.3472815301
80	0.3466881948
81	0.3455109615
82	0.3446592497
83	0.3433134336
84	0.342365323
85	0.3411522588
86	0.3405540612
87	0.3396183962
88	0.339245202
89	0.3387936054
90	0.3382281045
91	0.3372565476
92	0.3365510874
93	0.3355972964
94	0.334908
95	0.3339225076
96	0.3331003476
97	0.3322540594
98	0.3316403812
99	0.3306807615
100	0.3298583663
101	0.3290272376
102	0.3281443579
103	0.3275443989
104	0.326819296
105	0.3259657212
106	0.3250621279
107	0.3244815751
108	0.3233775809
109	0.3227172296
110	0.3218116738
111	0.3207757827
112	0.3202007134
113	0.3194786118
114	0.3190663249
115	0.3179342624
116	0.317357381
117	0.3168504695
118	0.3162587028
119	0.3158742242
120	0.3148713184
121	0.3143768395
122	0.31377415
123	0.313336257
124	0.3126643984
125	0.3120494846
126	0.3114711861
127	0.3109208034
128	0.3102882034
129	0.3098213836
130	0.308921741
131	0.3083701688
132	0.3076052917
133	0.3068440274
134	0.3060370218
135	0.3055722932
136	0.3048674294
137	0.3045212304
138	0.3040800305
139	0.3033409399
140	0.3024699913
141	0.3020443908
142	0.3015931594
143	0.3007808271
144	0.2996999159
145	0.2991284613
146	0.2985155236
147	0.297841631
148	0.297223205
149	0.296823065
150	0.2961534686
151	0.2956404717
152	0.2949822401
153	0.2944397255
154	0.2940458385
155	0.2937692666
156	0.2932616056
157	0.2924579518
158	0.2921237604
159	0.2916999095
160	0.2911031993
161	0.2904365965
162	0.2898589106
163	0.2894622863
164	0.2891675552
165	0.2887145985
166	0.288401542
167	0.287731639
168	0.2870420847
169	0.286693342
170	0.2863109964
171	0.2857896241
172	0.2850515786
173	0.2844637091
174	0.2837840157
175	0.2831613054
176	0.2826694787
177	0.2823252979
178	0.2817020712
179	0.2814177827
180	0.2811103331
181	0.2804624345
182	0.2795597298
183	0.2790645902
184	0.2785685178
185	0.2781714615
186	0.2775901662
187	0.2767794216
188	0.2762490252
189	0.2755260345
190	0.2750575254
191	0.2745893907
192	0.2738603623
193	0.2732716313
194	0.2726944063
195	0.2722294792
196	0.2717687678
197	0.271376902
198	0.2708074125
199	0.2703513021
200	0.2697841317
201	0.2692780098
202	0.26869606
203	0.2680839259
204	0.2676109486
205	0.2670892301
206	0.2665477528
207	0.2659562499
208	0.2655272094
209	0.2646234887
210	0.2642385748
211	0.2636978542
212	0.2632413315
213	0.2626632123
214	0.2618352634
215	0.2610559674
216	0.2605978755
217	0.2599713933
218	0.2595202929
219	0.2588678249
220	0.258370741
221	0.2577105985
222	0.2569001569
223	0.2561809232
224	0.255641201
225	0.2552534727
226	0.2546831427
227	0.2542449806
228	0.2536841892
229	0.2531916798
230	0.2526657401
231	0.2520485533
232	0.2514460905
233	0.2510137429
234	0.2504175583
235	0.2499379831
236	0.2494357916
237	0.2490356933
238	0.2485457784
239	0.2479721461
240	0.2473554373
241	0.2468825845
242	0.2462781066
243	0.2456790345
244	0.2453424736
245	0.2447071637
246	0.2442031154
247	0.2435665501
248	0.2430613329
249	0.2426307924
250	0.2422319995
251	0.241756067
252	0.241315649
253	0.2405559867
254	0.2399884921
255	0.2395572884
256	0.2388223331
257	0.2383229351
258	0.2377969215
259	0.2374462731
260	0.2370580595
261	0.2366348283
262	0.2361034818
263	0.2354525435
264	0.235057292
265	0.2346430374
266	0.2342341128
267	0.2336412332
268	0.2330837157
269	0.2325273912
270	0.2319799946
271	0.2315688547
272	0.2309381294
273	0.2304809968
274	0.2299646143
275	0.2295492696
276	0.229031731
277	0.2285614933
278	0.2280279675
279	0.2275431787
280	0.2270156421
281	0.2265259856
282	0.2261340043
283	0.2256793174
284	0.2252038154
285	0.2248656247
286	0.2244685304
287	0.2241376276
288	0.2237736511
289	0.2232957118
290	0.2229003035
291	0.2222932109
292	0.2216937395
293	0.2212252288
294	0.2208731682
295	0.2204156967
296	0.2200853717
297	0.21969265
298	0.2193511928
299	0.2191279718
300	0.2188328711
301	0.21847528
302	0.2178631772
303	0.2173677271
304	0.2169917545
305	0.2166442274
306	0.2162383737
307	0.2158440063
308	0.2154196563
309	0.2150708549
310	0.2146984155
311	0.214315702
312	0.2137468328
313	0.2134858068
314	0.2130800713
315	0.2126927242
316	0.2123317034
317	0.2120473638
318	0.2116185742
319	0.2111300099
320	0.2106862974
321	0.2101683819
322	0.2099338953
323	0.2094945309
324	0.2091227401
325	0.2087800599
326	0.2084558742
327	0.2080110122
328	0.2076990365
329	0.2073945825
330	0.2069947705
331	0.2064695072
332	0.2062338951
333	0.2058124173
334	0.2053547729
335	0.2049583769
336	0.2047065102
337	0.2045609777
338	0.2041328371
339	0.2037894536
